TYPE,RATE_ID,PRODUCT_TYPE_CODE,PRODUCT_TYPE_NAME,SPECIES_GROUP_CODE,SPECIES_GROUP_NAME,RATE_TYPE_CODE,RATE_TYPE_NAME,RATE,EFFECTIVE_DATE,EXPIRY_DATE
RATE,52,BCG,Biomass Cogeneration,MPB,Mixedwood Poplar / White Birch,FRI,Forest Resource Inventory,0.59,01052026,31052026
RATE,53,BCG,Biomass Cogeneration,MPB,Mixedwood Poplar / White Birch,MS,Minimum Value Charge,0,01042026,30042026
RATE,54,BCG,Biomass Cogeneration,MPB,Mixedwood Poplar / White Birch,MS,Minimum Value Charge,0,01052026,31052026
RATE,55,BCG,Biomass Cogeneration,MPB,Mixedwood Poplar / White Birch,SFR,Residual Value Charge,0,01042026,30042026
RATE,56,BCG,Biomass Cogeneration,MPB,Mixedwood Poplar / White Birch,SFR,Residual Value Charge,0,01052026,31052026
RATE,57,BCG,Biomass Cogeneration,MSW,Mixedwood Softwood,FFF,Forestry Futures Charge,0.69,01042026,30042026
RATE,58,BCG,Biomass Cogeneration,MSW,Mixedwood Softwood,FFF,Forestry Futures Charge,0.69,01052026,31052026
RATE,59,BCG,Biomass Cogeneration,MSW,Mixedwood Softwood,FRI,Forest Resource Inventory,0.59,01042026,30042026
RATE,60,BCG,Biomass Cogeneration,MSW,Mixedwood Softwood,FRI,Forest Resource Inventory,0.59,01052026,31052026
RATE,61,BCG,Biomass Cogeneration,MSW,Mixedwood Softwood,MS,Minimum Value Charge,0,01042026,30042026
RATE,62,BCG,Biomass Cogeneration,MSW,Mixedwood Softwood,MS,Minimum Value Charge,0,01052026,31052026
RATE,63,BCG,Biomass Cogeneration,MSW,Mixedwood Softwood,SFR,Residual Value Charge,0,01042026,30042026
RATE,64,BCG,Biomass Cogeneration,MSW,Mixedwood Softwood,SFR,Residual Value Charge,0,01052026,31052026
RATE,65,BCG,Biomass Cogeneration,POP,Poplar,FFF,Forestry Futures Charge,0.69,01042026,30042026
RATE,66,BCG,Biomass Cogeneration,POP,Poplar,FFF,Forestry Futures Charge,0.69,01052026,31052026
RATE,67,BCG,Biomass Cogeneration,POP,Poplar,FRI,Forest Resource Inventory,0.59,01042026,30042026
RATE,68,BCG,Biomass Cogeneration,POP,Poplar,FRI,Forest Resource Inventory,0.59,01052026,31052026
RATE,69,BCG,Biomass Cogeneration,POP,Poplar,MS,Minimum Value Charge,0,01042026,30042026
RATE,70,BCG,Biomass Cogeneration,POP,Poplar,MS,Minimum Value Charge,0,01052026,31052026
RATE,71,BCG,Biomass Cogeneration,POP,Poplar,SFR,Residual Value Charge,0,01042026,30042026
RATE,72,BCG,Biomass Cogeneration,POP,Poplar,SFR,Residual Value Charge,0,01052026,31052026
RATE,73,BCG,Biomass Cogeneration,PR1,Red Pine / White Pine Category 1,FFF,Forestry Futures Charge,0.69,01042026,30042026
RATE,74,BCG,Biomass Cogeneration,PR1,Red Pine / White Pine Category 1,FFF,Forestry Futures Charge,0.69,01052026,31052026
RATE,75,BCG,Biomass Cogeneration,PR1,Red Pine / White Pine Category 1,FRI,Forest Resource Inventory,0.59,01042026,30042026
RATE,76,BCG,Biomass Cogeneration,PR1,Red Pine / White Pine Category 1,FRI,Forest Resource Inventory,0.59,01052026,31052026
RATE,77,BCG,Biomass Cogeneration,PR1,Red Pine / White Pine Category 1,MS,Minimum Value Charge,0,01042026,30042026
RATE,78,BCG,Biomass Cogeneration,PR1,Red Pine / White Pine Category 1,MS,Minimum Value Charge,0,01052026,31052026
RATE,79,BCG,Biomass Cogeneration,PR1,Red Pine / White Pine Category 1,SFR,Residual Value Charge,0,01042026,30042026
RATE,80,BCG,Biomass Cogeneration,PR1,Red Pine / White Pine Category 1,SFR,Residual Value Charge,0,01052026,31052026
RATE,81,BCG,Biomass Cogeneration,PR2,Red Pine / White Pine Category 2,FFF,Forestry Futures Charge,0.69,01042026,30042026
RATE,82,BCG,Biomass Cogeneration,PR2,Red Pine / White Pine Category 2,FFF,Forestry Futures Charge,0.69,01052026,31052026
RATE,83,BCG,Biomass Cogeneration,PR2,Red Pine / White Pine Category 2,FRI,Forest Resource Inventory,0.59,01042026,30042026
RATE,84,BCG,Biomass Cogeneration,PR2,Red Pine / White Pine Category 2,FRI,Forest Resource Inventory,0.59,01052026,31052026
RATE,85,BCG,Biomass Cogeneration,PR2,Red Pine / White Pine Category 2,MS,Minimum Value Charge,0,01042026,30042026
RATE,86,BCG,Biomass Cogeneration,PR2,Red Pine / White Pine Category 2,MS,Minimum Value Charge,0,01052026,31052026
RATE,87,BCG,Biomass Cogeneration,PR2,Red Pine / White Pine Category 2,SFR,Residual Value Charge,0,01042026,30042026
RATE,88,BCG,Biomass Cogeneration,PR2,Red Pine / White Pine Category 2,SFR,Residual Value Charge,0,01052026,31052026
RATE,89,BCG,Biomass Cogeneration,WBR,White Birch,FFF,Forestry Futures Charge,0.69,01042026,30042026
RATE,90,BCG,Biomass Cogeneration,WBR,White Birch,FFF,Forestry Futures Charge,0.69,01052026,31052026
RATE,91,BCG,Biomass Cogeneration,WBR,White Birch,FRI,Forest Resource Inventory,0.59,01042026,30042026
RATE,92,BCG,Biomass Cogeneration,WBR,White Birch,FRI,Forest Resource Inventory,0.59,01052026,31052026
RATE,93,BCG,Biomass Cogeneration,WBR,White Birch,MS,Minimum Value Charge,0,01042026,30042026
RATE,94,BCG,Biomass Cogeneration,WBR,White Birch,MS,Minimum Value Charge,0,01052026,31052026
RATE,95,BCG,Biomass Cogeneration,WBR,White Birch,SFR,Residual Value Charge,0,01042026,30042026
RATE,96,BCG,Biomass Cogeneration,WBR,White Birch,SFR,Residual Value Charge,0,01052026,31052026
RATE,97,COM,Composite,CON,Conifer,FFF,Forestry Futures Charge,0.69,01042026,30042026
RATE,98,COM,Composite,CON,Conifer,FFF,Forestry Futures Charge,0.69,01052026,31052026
RATE,99,COM,Composite,CON,Conifer,FRI,Forest Resource Inventory,2.5,01042026,30042026
RATE,100,COM,Composite,CON,Conifer,FRI,Forest Resource Inventory,2.5,01052026,31052026
RATE,101,COM,Composite,CON,Conifer,MS,Minimum Value Charge,3.56,01042026,30042026
RATE,102,COM,Composite,CON,Conifer,MS,Minimum Value Charge,3.56,01052026,31052026
RATE,103,COM,Composite,CON,Conifer,SFR,Residual Value Charge,0,01042026,30042026
RATE,104,COM,Composite,CON,Conifer,SFR,Residual Value Charge,0,01052026,31052026
